iter	RMSE
0	38.99324241
1	35.75114593
2	32.77759993
3	30.43923387
4	28.16353487
5	26.14301056
6	24.03633343
7	22.16364141
8	20.35675658
9	18.71335553
10	17.38057723
11	16.10278425
12	14.9612199
13	13.84089037
14	12.9157313
15	11.94313088
16	11.09533139
17	10.310157
18	9.61668027
19	8.967355245
20	8.366464142
21	7.825120222
22	7.32435465
23	6.869783626
24	6.438336932
25	6.128002076
26	5.824226268
27	5.481997629
28	5.169814
29	4.916450311
30	4.639928304
31	4.419272589
32	4.200026169
33	4.014864983
34	3.853861105
35	3.695855977
36	3.551037922
37	3.421397894
38	3.302034991
39	3.203200441
40	3.100692007
41	3.018989219
42	2.946367506
43	2.879541622
44	2.814089177
45	2.764751177
46	2.710382487
47	2.663761715
48	2.622312249
49	2.578176702
50	2.537027999
51	2.492969453
52	2.453499838
53	2.42486107
54	2.399427612
55	2.368113125
56	2.341566334
57	2.313890939
58	2.292065656
59	2.286418841
60	2.277867045
61	2.262294442
62	2.258259774
63	2.224428529
64	2.202142315
65	2.193393949
66	2.159091982
67	2.132449715
68	2.110649523
69	2.105649043
70	2.092998684
71	2.087268525
72	2.063860183
73	2.053623635
74	2.047381377
75	2.034501746
76	2.031506087
77	2.029448061
78	2.023749708
79	2.019870953
80	1.993558152
81	1.98484523
82	1.98191581
83	1.979089191
84	1.943055928
85	1.939382416
86	1.926684725
87	1.915881998
88	1.914038083
89	1.883236124
90	1.865610048
91	1.863855588
92	1.862546701
93	1.861213855
94	1.844877681
95	1.829330978
96	1.812722397
97	1.811337609
98	1.790765288
99	1.771885432
