iter	Passed	Remaining
0	2	207
1	3	187
2	5	182
3	7	175
4	8	170
5	10	167
6	12	163
7	13	160
8	15	157
9	17	154
10	18	152
11	21	156
12	23	157
13	25	157
14	27	157
15	29	156
16	31	153
17	33	150
18	34	147
19	36	145
20	37	142
21	39	139
22	40	136
23	42	134
24	44	132
25	45	130
26	47	128
27	49	126
28	50	123
29	52	121
30	53	119
31	55	117
32	57	115
33	58	113
34	60	112
35	62	110
36	63	108
37	65	106
38	67	105
39	68	103
40	70	101
41	71	99
42	73	97
43	74	95
44	76	93
45	78	91
46	79	90
47	81	88
48	82	86
49	84	84
50	86	82
51	87	81
52	89	79
53	91	77
54	92	75
55	94	74
56	95	72
57	96	70
58	98	68
59	100	66
60	101	64
61	103	63
62	104	61
63	106	59
64	108	58
65	109	56
66	110	54
67	112	52
68	113	51
69	115	49
70	116	47
71	117	45
72	119	44
73	121	42
74	122	40
75	124	39
76	125	37
77	127	35
78	128	34
79	130	32
80	131	30
81	132	29
82	134	27
83	135	25
84	137	24
85	137	22
86	139	20
87	141	19
88	141	17
89	142	15
90	144	14
91	145	12
92	146	11
93	147	9
94	149	7
95	149	6
96	151	4
97	152	3
98	153	1
99	154	0
