iter	Passed	Remaining
0	7	7262
1	9	4551
2	10	3567
3	12	3106
4	14	2833
5	16	2651
6	17	2523
7	23	2863
8	24	2750
9	26	2660
10	28	2562
11	30	2481
12	31	2408
13	33	2341
14	34	2286
15	41	2559
16	43	2511
17	45	2481
18	47	2455
19	49	2408
20	50	2370
21	58	2619
22	61	2597
23	62	2549
24	64	2513
25	66	2476
26	68	2452
27	73	2557
28	76	2562
29	79	2563
30	81	2541
31	83	2531
32	89	2608
33	91	2595
34	93	2577
35	96	2575
36	100	2606
37	110	2801
38	113	2791
39	123	2964
40	129	3024
41	132	3028
42	134	3001
43	143	3120
44	146	3118
45	156	3250
46	159	3229
47	161	3202
48	163	3175
49	165	3153
50	168	3134
51	171	3134
52	175	3134
53	177	3111
54	180	3098
55	189	3190
56	191	3166
57	193	3145
58	195	3121
59	197	3096
60	204	3152
61	207	3133
62	209	3111
63	211	3090
64	213	3076
65	220	3121
66	223	3109
67	225	3095
68	228	3076
69	230	3057
70	237	3113
71	240	3098
72	242	3079
73	245	3070
74	247	3053
75	252	3074
76	256	3076
77	258	3060
78	261	3044
79	263	3029
80	265	3015
81	272	3049
82	275	3041
83	277	3026
84	279	3012
85	282	3002
86	288	3026
87	290	3011
88	292	2995
89	294	2981
90	296	2965
91	298	2948
92	305	2982
93	307	2966
94	309	2951
95	311	2937
96	314	2923
97	316	2910
98	317	2893
99	320	2885
100	322	2871
101	324	2860
102	326	2843
103	332	2868
104	335	2857
105	337	2844
106	339	2832
107	341	2821
108	343	2810
109	351	2841
110	353	2828
111	355	2816
112	357	2804
113	359	2792
114	367	2825
115	369	2817
116	372	2807
117	374	2796
118	376	2787
119	384	2821
120	387	2812
121	389	2803
122	391	2792
123	393	2780
124	401	2807
125	403	2798
126	406	2792
127	425	2896
128	427	2883
129	428	2869
130	439	2912
131	440	2897
132	442	2883
133	443	2869
134	445	2854
135	457	2907
136	459	2892
137	460	2879
138	462	2866
139	470	2892
140	473	2885
141	475	2871
142	475	2852
143	477	2838
144	479	2825
145	488	2857
146	490	2846
147	492	2835
148	494	2824
149	496	2815
150	509	2865
151	510	2848
152	512	2835
153	513	2823
154	520	2838
155	523	2829
156	524	2817
157	526	2804
158	527	2791
159	529	2779
160	530	2763
161	538	2783
162	540	2773
163	541	2760
164	543	2749
165	544	2736
166	546	2724
167	548	2717
168	554	2728
169	557	2720
170	559	2712
171	560	2698
172	562	2688
173	563	2675
174	575	2713
175	577	2703
176	578	2691
177	580	2680
178	589	2703
179	591	2694
180	595	2694
181	597	2687
182	607	2711
183	608	2700
184	609	2687
185	611	2676
186	613	2665
187	614	2655
188	626	2690
189	628	2679
190	630	2670
191	632	2659
192	644	2695
193	646	2685
194	647	2672
195	648	2659
196	649	2646
197	656	2658
198	657	2645
199	658	2632
200	659	2622
201	661	2612
202	663	2604
203	676	2638
204	678	2631
205	679	2620
206	691	2648
207	694	2644
208	696	2637
209	708	2665
210	711	2659
211	714	2654
212	728	2690
213	731	2686
214	742	2712
215	744	2703
216	746	2695
217	748	2685
218	761	2714
219	762	2704
220	765	2697
221	779	2730
222	879	3063
223	884	3063
224	887	3055
225	902	3090
226	903	3078
227	920	3115
228	936	3153
229	938	3142
230	947	3152
231	951	3148
232	1005	3309
233	1007	3296
234	1021	3326
235	1023	3312
236	1026	3303
237	1040	3332
238	1042	3320
239	1052	3332
240	1054	3321
241	1055	3307
242	1057	3295
243	1059	3284
244	1061	3270
245	1070	3282
246	1072	3270
247	1074	3257
248	1075	3244
249	1076	3229
250	1078	3218
251	1086	3223
252	1091	3221
253	1094	3215
254	1103	3225
255	1109	3225
256	1112	3217
257	1120	3223
258	1127	3225
259	1129	3214
260	1136	3217
261	1139	3210
262	1140	3197
263	1141	3183
264	1146	3179
265	1155	3187
266	1157	3176
267	1158	3163
268	1160	3152
269	1162	3141
270	1172	3154
271	1177	3150
272	1178	3138
273	1186	3142
274	1188	3132
275	1190	3122
276	1193	3115
277	1195	3105
278	1202	3108
279	1205	3098
280	1207	3088
281	1208	3077
282	1210	3067
283	1211	3054
284	1217	3054
285	1219	3044
286	1221	3034
287	1224	3027
288	1226	3018
289	1228	3006
290	1237	3014
291	1238	3004
292	1240	2992
293	1243	2985
294	1245	2977
295	1253	2981
296	1254	2969
297	1256	2959
298	1258	2950
299	1260	2941
300	1268	2945
301	1271	2937
302	1273	2929
303	1274	2917
304	1275	2906
305	1277	2896
306	1279	2887
307	1285	2887
308	1287	2878
309	1288	2867
310	1289	2857
311	1293	2852
312	1294	2840
313	1298	2837
314	1300	2828
315	1302	2818
316	1304	2810
317	1309	2808
318	1313	2803
319	1315	2795
320	1318	2788
321	1320	2779
322	1329	2786
323	1333	2782
324	1336	2776
325	1339	2769
326	1346	2771
327	1349	2764
328	1351	2756
329	1354	2749
330	1362	2754
331	1364	2745
332	1367	2738
333	1369	2730
334	1371	2722
335	1380	2728
336	1382	2720
337	1384	2712
338	1387	2705
339	1389	2696
340	1399	2704
341	1401	2696
342	1403	2689
343	1405	2680
344	1415	2687
345	1417	2680
346	1419	2672
347	1421	2664
348	1431	2671
349	1435	2665
350	1438	2660
351	1439	2650
352	1447	2653
353	1449	2645
354	1451	2637
355	1453	2629
356	1455	2621
357	1463	2624
358	1466	2617
359	1468	2610
360	1470	2602
361	1472	2595
362	1479	2596
363	1482	2590
364	1484	2582
365	1486	2575
366	1489	2569
367	1495	2568
368	1499	2564
369	1501	2556
370	1503	2549
371	1506	2542
372	1515	2547
373	1518	2541
374	1520	2534
375	1522	2527
376	1529	2527
377	1531	2520
378	1533	2513
379	1535	2505
380	1539	2501
381	1546	2502
382	1549	2495
383	1551	2488
384	1553	2482
385	1555	2474
386	1565	2479
387	1569	2474
388	1570	2467
389	1573	2460
390	1581	2462
391	1583	2456
392	1586	2450
393	1590	2446
394	1599	2450
395	1602	2444
396	1606	2439
397	1614	2442
398	1617	2436
399	1621	2432
400	1624	2426
401	1634	2431
402	1637	2425
403	1640	2419
404	1648	2422
405	1652	2417
406	1654	2409
407	1656	2403
408	1663	2403
409	1666	2398
410	1669	2392
411	1671	2385
412	1673	2379
413	1681	2380
414	1684	2374
415	1686	2368
416	1689	2361
417	1698	2365
418	1703	2362
419	1705	2355
420	1707	2348
421	1716	2351
422	1721	2348
423	1724	2343
424	1733	2345
425	1738	2341
426	1741	2336
427	1751	2341
428	1755	2336
429	1758	2330
430	1767	2334
431	1771	2328
432	1773	2322
433	1775	2315
434	1785	2319
435	1790	2315
436	1799	2317
437	1803	2313
438	1807	2309
439	1816	2312
440	1819	2305
441	1821	2299
442	1824	2293
443	1890	2367
444	1906	2378
445	1910	2373
446	1927	2384
447	1939	2389
448	1941	2382
449	1944	2376
450	1955	2380
451	1959	2375
452	1972	2381
453	1975	2376
454	1978	2369
455	1980	2362
456	1988	2362
457	1991	2356
458	1993	2349
459	2001	2349
460	2008	2347
461	2010	2340
462	2013	2335
463	2016	2329
464	2019	2323
465	2022	2318
466	2025	2312
467	2036	2314
468	2040	2310
469	2043	2304
470	2052	2304
471	2054	2298
472	2057	2292
473	2059	2285
474	2061	2278
475	2065	2274
476	2068	2268
477	2072	2262
478	2081	2263
479	2083	2257
480	2085	2250
481	2087	2243
482	2090	2238
483	2101	2240
484	2104	2234
485	2106	2228
486	2116	2229
487	2119	2223
488	2122	2217
489	2124	2211
490	2134	2212
491	2136	2206
492	2139	2200
493	2141	2193
494	2148	2191
495	2152	2186
496	2155	2181
497	2157	2174
498	2167	2175
499	2169	2169
500	2173	2164
501	2206	2188
502	2210	2183
503	2225	2189
504	2227	2183
505	2243	2190
506	2253	2191
507	2258	2186
508	2260	2180
509	2270	2181
510	2273	2175
511	2275	2169
512	2278	2163
513	2291	2167
514	2293	2159
515	2302	2159
516	2310	2158
517	2313	2152
518	2326	2156
519	2330	2151
520	2333	2145
521	2337	2140
522	2348	2141
523	2350	2134
524	2352	2128
525	2355	2122
526	2367	2124
527	2369	2118
528	2371	2111
529	2382	2112
530	2384	2106
531	2386	2099
532	2388	2092
533	2399	2094
534	2402	2088
535	2404	2081
536	2406	2074
537	2415	2074
538	2417	2068
539	2420	2061
540	2422	2055
541	2434	2056
542	2441	2054
543	2469	2070
544	2471	2063
545	2474	2057
546	2484	2057
547	2487	2051
548	2489	2045
549	2492	2039
550	2514	2049
551	2518	2044
552	2521	2037
553	2524	2032
554	2527	2026
555	2542	2030
556	2546	2025
557	2548	2019
558	2550	2012
559	2560	2012
560	2562	2005
561	2564	1998
562	2566	1991
563	2567	1985
564	2569	1978
565	2576	1975
566	2579	1969
567	2581	1963
568	2583	1956
569	2584	1949
570	2586	1943
571	2590	1938
572	2593	1932
573	2596	1927
574	2598	1920
575	2600	1914
576	2602	1907
577	2609	1905
578	2611	1898
579	2613	1892
580	2615	1886
581	2617	1879
582	2627	1879
583	2629	1873
584	2631	1866
585	2632	1859
586	2634	1853
587	2636	1847
588	2641	1843
589	2647	1839
590	2649	1833
591	2650	1826
592	2652	1820
593	2659	1817
594	2661	1811
595	2667	1807
596	2670	1802
597	2677	1799
598	2679	1793
599	2681	1787
600	2682	1781
601	2684	1774
602	2686	1768
603	2699	1769
604	2702	1764
605	2715	1765
606	2717	1759
607	2719	1753
608	2720	1746
609	2732	1747
610	2735	1741
611	2749	1743
612	2751	1737
613	2754	1731
614	2765	1731
615	2769	1726
616	2772	1720
617	2779	1718
618	2781	1712
619	2783	1705
620	2785	1699
621	2786	1693
622	2789	1687
623	2796	1684
624	2798	1678
625	2800	1673
626	2802	1667
627	2804	1661
628	2805	1654
629	2811	1651
630	2813	1645
631	2816	1639
632	2818	1634
633	2821	1628
634	2826	1624
635	2831	1620
636	2833	1614
637	2835	1609
638	2837	1603
639	2848	1602
640	2853	1597
641	2855	1592
642	2863	1589
643	2865	1584
644	2868	1578
645	2872	1574
646	2880	1571
647	2882	1565
648	2883	1559
649	2885	1553
650	2887	1548
651	2889	1542
652	2898	1540
653	2903	1536
654	2905	1530
655	2907	1524
656	2915	1521
657	2917	1516
658	2919	1510
659	2922	1505
660	2923	1499
661	2931	1496
662	2934	1491
663	2937	1486
664	2939	1480
665	2945	1477
666	2947	1471
667	2950	1466
668	2952	1460
669	2954	1455
670	2956	1449
671	2965	1447
672	2967	1441
673	2969	1436
674	2973	1431
675	2981	1429
676	2984	1424
677	2986	1418
678	2990	1413
679	2997	1410
680	2999	1405
681	3001	1399
682	3003	1394
683	3005	1388
684	3007	1383
685	3014	1379
686	3016	1374
687	3021	1370
688	3024	1365
689	3032	1362
690	3035	1357
691	3037	1352
692	3039	1346
693	3041	1341
694	3047	1337
695	3049	1332
696	3053	1327
697	3054	1321
698	3056	1316
699	3058	1310
700	3066	1308
701	3068	1302
702	3070	1297
703	3074	1292
704	3075	1286
705	3080	1282
706	3082	1277
707	3085	1272
708	3087	1267
709	3089	1261
710	3091	1256
711	3098	1253
712	3100	1248
713	3103	1243
714	3105	1237
715	3107	1232
716	3109	1227
717	3116	1224
718	3124	1220
719	3126	1215
720	3140	1215
721	3142	1209
722	3150	1207
723	3154	1202
724	3156	1197
725	3158	1192
726	3170	1190
727	3173	1185
728	3175	1180
729	3177	1175
730	3187	1172
731	3189	1167
732	3193	1163
733	3202	1160
734	3204	1155
735	3206	1150
736	3209	1145
737	3210	1139
738	3217	1136
739	3219	1131
740	3221	1125
741	3223	1120
742	3226	1115
743	3227	1110
744	3236	1107
745	3238	1102
746	3240	1097
747	3241	1092
748	3243	1086
749	3245	1081
750	3251	1077
751	3253	1072
752	3256	1068
753	3258	1063
754	3266	1059
755	3269	1055
756	3271	1050
757	3274	1045
758	3276	1040
759	3282	1036
760	3286	1032
761	3288	1027
762	3289	1021
763	3291	1016
764	3294	1011
765	3303	1009
766	3305	1004
767	3307	999
768	3309	994
769	3315	990
770	3318	985
771	3320	980
772	3322	975
773	3324	970
